650.083	0.68	835.283	0.6594	807.3	0.6669	327.633	0.7521	422.617	0.7734	428.983	0.7874	593	0.6871	784.717	0.663	830.85	0.6639	381.617	0.7406	464.7	0.7391	475.783	0.7276
651.083	0.689	836.283	0.6617	808.3	0.6642	328.633	0.7592	423.617	0.7829	430	0.7873	594.017	0.6845	785.717	0.6668	831.85	0.6616	382.617	0.7399	465.7	0.7403	476.783	0.7377
652.083	0.7002	837.283	0.6597	809.3	0.6686	329.633	0.7672	424.617	0.7893	431	0.7968	595.017	0.6898	786.717	0.6647	832.85	0.6617	383.617	0.7428	466.7	0.7468	477.783	0.7435
653.083	0.7016	838.283	0.6689	810.3	0.6756	330.65	0.7721	425.617	0.7942	432	0.8044	596.017	0.696	787.717	0.6711	833.85	0.6705	384.617	0.7498	467.717	0.7504	478.783	0.7435
654.083	0.7	839.283	0.6676	811.3	0.6771	331.65	0.7774	426.617	0.804			597.017	0.6978	788.717	0.6713	834.867	0.6765	385.617	0.7574	468.717	0.7587	479.8	0.7523
655.083	0.6993	840.283	0.6729	812.3	0.676	332.65	0.7878					598.017	0.6993	789.717	0.6782	835.867	0.6816	386.617	0.761	469.717	0.7621	480.8	0.7537
656.083	0.7075	841.283	0.6726	813.3	0.6827	333.65	0.7905					599.017	0.7062	790.717	0.6735	836.867	0.6769	387.617	0.7638	470.717	0.7708	481.8	0.7598
657.083	0.7094	842.283	0.6758	814.317	0.682	334.65	0.7992					600.017	0.7064	791.717	0.678	837.867	0.6765	388.617	0.7675	471.717	0.7739	482.8	0.7641
658.083	0.7126	843.283	0.6765	815.317	0.6875	335.65	0.8033					601.017	0.7086	792.717	0.6894	838.867	0.6819	389.617	0.7761	472.717	0.778	483.8	0.7717
659.083	0.7177	844.3	0.683	816.317	0.6843							602.017	0.711	793.733	0.6899	839.867	0.6849	390.617	0.7784	473.717	0.7859	484.8	0.7782
660.083	0.7177	845.3	0.6792	817.317	0.6926							603.017	0.714	794.733	0.6885	840.883	0.6861	391.633	0.7835	474.717	0.7929	485.8	0.7838
661.1	0.7202	846.3	0.6919	818.317	0.6973							604.017	0.7202	795.733	0.6841	841.883	0.6943	392.633	0.7943	475.717	0.7998	486.8	0.789
