sec	min	hour	od
0	0	0	0.0009
30	0.5	0.008333333	0.0027
60	1	0.016666667	0.0022
90	1.5	0.025	0.0023
121	2.01667	0.033611111	0.0019
151	2.51667	0.041944444	0.0016
181	3.01667	0.050277778	0.0009
211	3.51667	0.058611111	0.0004
241	4.01667	0.066944444	0.0004
271	4.51667	0.075277778	0
301	5.01667	0.083611111	-0.0001
331	5.51667	0.091944444	-0.0003
608	10.1333	0.168888889	0.7091
638	10.6333	0.177222222	0.7044
669	11.15	0.185833333	0.6988
699	11.65	0.194166667	0.7006
729	12.15	0.2025	0.701
759	12.65	0.210833333	0.6996
790	13.1667	0.219444444	0.6985
820	13.6667	0.227777778	0.6998
850	14.1667	0.236111111	0.6963
880	14.6667	0.244444444	0.6958
910	15.1667	0.252777778	0.7015
941	15.6833	0.261388889	0.7064
971	16.1833	0.269722222	0.7046
1002	16.7	0.278333333	0.7017
1032	17.2	0.286666667	0.7004
1062	17.7	0.295	0.6999
1092	18.2	0.303333333	0.7011
1122	18.7	0.311666667	0.6966
1152	19.2	0.32	0.7032
1182	19.7	0.328333333	0.6939
1213	20.2167	0.336944444	0.6982
1243	20.7167	0.345277778	0.6971
1273	21.2167	0.353611111	0.7031
1303	21.7167	0.361944444	0.6978
1333	22.2167	0.370277778	0.6952
1363	22.7167	0.378611111	0.7
1393	23.2167	0.386944444	0.7003
1423	23.7167	0.395277778	0.6952
1454	24.2333	0.403888889	0.6946
1484	24.7333	0.412222222	0.6988
1514	25.2333	0.420555556	0.6957
1544	25.7333	0.428888889	0.6973
1574	26.2333	0.437222222	0.6999
1605	26.75	0.445833333	0.6962
1635	27.25	0.454166667	0.7028
1665	27.75	0.4625	0.7017
1695	28.25	0.470833333	0.7022
1725	28.75	0.479166667	0.7014
1755	29.25	0.4875	0.7002
1785	29.75	0.495833333	0.6979
1816	30.2667	0.504444444	0.7028
1846	30.7667	0.512777778	0.6988
1876	31.2667	0.521111111	0.7014
1906	31.7667	0.529444444	0.7
1936	32.2667	0.537777778	0.7046
1966	32.7667	0.546111111	0.7058
1996	33.2667	0.554444444	0.7063
2027	33.7833	0.563055556	0.7032
2057	34.2833	0.571388889	0.7002
2087	34.7833	0.579722222	0.7055
2117	35.2833	0.588055556	0.7037
2147	35.7833	0.596388889	0.7061
2177	36.2833	0.604722222	0.7041
2208	36.8	0.613333333	0.7075
2238	37.3	0.621666667	0.7072
2268	37.8	0.63	0.7101
2298	38.3	0.638333333	0.7067
2328	38.8	0.646666667	0.7094
2358	39.3	0.655	0.7049
2388	39.8	0.663333333	0.7077
2419	40.3167	0.671944444	0.7077
2449	40.8167	0.680277778	0.7157
2479	41.3167	0.688611111	0.7121
2509	41.8167	0.696944444	0.7128
2539	42.3167	0.705277778	0.7102
2569	42.8167	0.713611111	0.7127
2599	43.3167	0.721944444	0.7138
2630	43.8333	0.730555556	0.7122
2660	44.3333	0.738888889	0.7135
2690	44.8333	0.747222222	0.7155
2720	45.3333	0.755555556	0.7141
2750	45.8333	0.763888889	0.7126
2780	46.3333	0.772222222	0.7162
2811	46.85	0.780833333	0.7182
2841	47.35	0.789166667	0.7168
2871	47.85	0.7975	0.7167
2901	48.35	0.805833333	0.7152
2931	48.85	0.814166667	0.7252
2961	49.35	0.8225	0.7155
2992	49.8667	0.831111111	0.7179
3022	50.3667	0.839444444	0.7154
3052	50.8667	0.847777778	0.7223
3083	51.3833	0.856388889	0.726
3113	51.8833	0.864722222	0.7207
3144	52.4	0.873333333	0.7229
3174	52.9	0.881666667	0.7258
3204	53.4	0.89	0.7275
3234	53.9	0.898333333	0.7258
3265	54.4167	0.906944444	0.7242
3295	54.9167	0.915277778	0.724
3325	55.4167	0.923611111	0.7252
3356	55.9333	0.932222222	0.7276
3386	56.4333	0.940555556	0.7252
3416	56.9333	0.948888889	0.7224
3446	57.4333	0.957222222	0.725
3476	57.9333	0.965555556	0.7234
3506	58.4333	0.973888889	0.7293
3537	58.95	0.9825	0.7244
3567	59.45	0.990833333	0.7285
3597	59.95	0.999166667	0.7266
3627	60.45	1.0075	0.7328
3657	60.95	1.015833333	0.7271
3687	61.45	1.024166667	0.7268
3718	61.9667	1.032777778	0.7236
3748	62.4667	1.041111111	0.7269
3778	62.9667	1.049444444	0.728
3808	63.4667	1.057777778	0.7262
3838	63.9667	1.066111111	0.7248
3868	64.4667	1.074444444	0.7355
3899	64.9833	1.083055556	0.7319
3929	65.4833	1.091388889	0.7285
3959	65.9833	1.099722222	0.7291
3989	66.4833	1.108055556	0.7342
4019	66.9833	1.116388889	0.7315
4049	67.4833	1.124722222	0.7348
4079	67.9833	1.133055556	0.7318
4110	68.5	1.141666667	0.7325
4140	69	1.15	0.732
4170	69.5	1.158333333	0.7302
4200	70	1.166666667	0.7279
4230	70.5	1.175	0.7391
4260	71	1.183333333	0.7368
4291	71.5167	1.191944444	0.7355
4321	72.0167	1.200277778	0.7332
4351	72.5167	1.208611111	0.7352
4381	73.0167	1.216944444	0.7362
4412	73.5333	1.225555556	0.7347
4442	74.0333	1.233888889	0.7358
4472	74.5333	1.242222222	0.7369
4502	75.0333	1.250555556	0.7351
4532	75.5333	1.258888889	0.7367
4562	76.0333	1.267222222	0.7395
4593	76.55	1.275833333	0.7385
4623	77.05	1.284166667	0.7422
4653	77.55	1.2925	0.739
4683	78.05	1.300833333	0.7304
4713	78.55	1.309166667	0.735
4743	79.05	1.3175	0.7409
4773	79.55	1.325833333	0.7388
4804	80.0667	1.334444444	0.7356
4834	80.5667	1.342777778	0.7389
4864	81.0667	1.351111111	0.7377
4894	81.5667	1.359444444	0.7383
4925	82.0833	1.368055556	0.7381
4955	82.5833	1.376388889	0.7401
4985	83.0833	1.384722222	0.742
5015	83.5833	1.393055556	0.7412
5045	84.0833	1.401388889	0.7425
5075	84.5833	1.409722222	0.7355
5105	85.0833	1.418055556	0.737
5135	85.5833	1.426388889	0.7367
5165	86.0833	1.434722222	0.7412
5195	86.5833	1.443055556	0.7421
5226	87.1	1.451666667	0.741
5256	87.6	1.46	0.7424
5286	88.1	1.468333333	0.7402
5316	88.6	1.476666667	0.7425
5346	89.1	1.485	0.7412
5376	89.6	1.493333333	0.7374
5406	90.1	1.501666667	0.7418
5436	90.6	1.51	0.7365
5466	91.1	1.518333333	0.7437
5496	91.6	1.526666667	0.7408
5526	92.1	1.535	0.7427
5557	92.6167	1.543611111	0.7415
5587	93.1167	1.551944444	0.7435
5617	93.6167	1.560277778	0.7435
5648	94.1333	1.568888889	0.7402
5678	94.6333	1.577222222	0.741
5708	95.1333	1.585555556	0.7417
5738	95.6333	1.593888889	0.749
5768	96.1333	1.602222222	0.74
5798	96.6333	1.610555556	0.7397
5829	97.15	1.619166667	0.7421
5859	97.65	1.6275	0.7398
5889	98.15	1.635833333	0.7441
5919	98.65	1.644166667	0.7433
5949	99.15	1.6525	0.7398
5979	99.65	1.660833333	0.7412
6010	100.167	1.669444444	0.7396
6040	100.667	1.677777778	0.7443
6070	101.167	1.686111111	0.7429
6100	101.667	1.694444444	0.7451
6130	102.167	1.702777778	0.7451
6160	102.667	1.711111111	0.7425
6191	103.183	1.719722222	0.7437
6221	103.683	1.728055556	0.7389
6251	104.183	1.736388889	0.7462
6281	104.683	1.744722222	0.7427
6311	105.183	1.753055556	0.7425
6341	105.683	1.761388889	0.7418
6372	106.2	1.77	0.7409
6402	106.7	1.778333333	0.7443
6432	107.2	1.786666667	0.7403
6462	107.7	1.795	0.7405
6492	108.2	1.803333333	0.7416
6522	108.7	1.811666667	0.7433
6552	109.2	1.82	0.7412
6582	109.7	1.828333333	0.7416
6613	110.217	1.836944444	0.738
6643	110.717	1.845277778	0.744
6673	111.217	1.853611111	0.7447
6703	111.717	1.861944444	0.7427
6733	112.217	1.870277778	0.7414
6763	112.717	1.878611111	0.741
6793	113.217	1.886944444	0.7415
6823	113.717	1.895277778	0.7423
6853	114.217	1.903611111	0.7448
6883	114.717	1.911944444	0.7436
6914	115.233	1.920555556	0.7403
6944	115.733	1.928888889	0.7468
6974	116.233	1.937222222	0.7377
7004	116.733	1.945555556	0.7427
7035	117.25	1.954166667	0.7417
7065	117.75	1.9625	0.7407
7095	118.25	1.970833333	0.7398
7125	118.75	1.979166667	0.7412
7155	119.25	1.9875	0.7403
7186	119.767	1.996111111	0.7389
7216	120.267	2.004444444	0.7384
7246	120.767	2.012777778	0.7393
7277	121.283	2.021388889	0.7437
7307	121.783	2.029722222	0.7427
7337	122.283	2.038055556	0.7415
7367	122.783	2.046388889	0.7377
7397	123.283	2.054722222	0.7409
7427	123.783	2.063055556	0.7435
7457	124.283	2.071388889	0.743
