sec	min	hour	od
0	0	0	0
30	0.5	0.008333333	-0.0002
60	1	0.016666667	-0.0005
90	1.5	0.025	-0.0008
120	2	0.033333333	-0.0009
150	2.5	0.041666667	-0.001
180	3	0.05	-0.0013
211	3.51667	0.058611111	-0.0015
241	4.01667	0.066944444	-0.0015
271	4.51667	0.075277778	-0.0016
301	5.01667	0.083611111	-0.002
331	5.51667	0.091944444	-0.0018
558	9.3	0.155	0.8343
588	9.8	0.163333333	0.8275
619	10.3167	0.171944444	0.8231
649	10.8167	0.180277778	0.8207
679	11.3167	0.188611111	0.8166
709	11.8167	0.196944444	0.806
739	12.3167	0.205277778	0.8093
769	12.8167	0.213611111	0.8046
799	13.3167	0.221944444	0.8013
830	13.8333	0.230555556	0.7976
860	14.3333	0.238888889	0.791
890	14.8333	0.247222222	0.7923
920	15.3333	0.255555556	0.7872
950	15.8333	0.263888889	0.7883
980	16.3333	0.272222222	0.7887
1010	16.8333	0.280555556	0.7861
1040	17.3333	0.288888889	0.7853
1070	17.8333	0.297222222	0.7806
1100	18.3333	0.305555556	0.7867
1130	18.8333	0.313888889	0.78
1160	19.3333	0.322222222	0.7782
1190	19.8333	0.330555556	0.7772
1220	20.3333	0.338888889	0.7791
1250	20.8333	0.347222222	0.7761
1280	21.3333	0.355555556	0.777
1310	21.8333	0.363888889	0.7756
1340	22.3333	0.372222222	0.7781
1371	22.85	0.380833333	0.7757
1401	23.35	0.389166667	0.777
1431	23.85	0.3975	0.7749
1461	24.35	0.405833333	0.7738
1491	24.85	0.414166667	0.773
1521	25.35	0.4225	0.7717
1551	25.85	0.430833333	0.7726
1581	26.35	0.439166667	0.7719
1611	26.85	0.4475	0.7697
1641	27.35	0.455833333	0.7717
1671	27.85	0.464166667	0.7783
1701	28.35	0.4725	0.7804
1731	28.85	0.480833333	0.7764
1761	29.35	0.489166667	0.775
1791	29.85	0.4975	0.7753
1821	30.35	0.505833333	0.7694
1852	30.8667	0.514444444	0.772
1882	31.3667	0.522777778	0.7731
1912	31.8667	0.531111111	0.7693
1942	32.3667	0.539444444	0.7685
1972	32.8667	0.547777778	0.7701
2002	33.3667	0.556111111	0.769
2032	33.8667	0.564444444	0.7808
2062	34.3667	0.572777778	0.7694
2092	34.8667	0.581111111	0.7724
2122	35.3667	0.589444444	0.77
2152	35.8667	0.597777778	0.7683
2182	36.3667	0.606111111	0.7678
2212	36.8667	0.614444444	0.7726
2242	37.3667	0.622777778	0.7733
2272	37.8667	0.631111111	0.7708
2302	38.3667	0.639444444	0.7733
2332	38.8667	0.647777778	0.7757
2363	39.3833	0.656388889	0.7662
2393	39.8833	0.664722222	0.7724
2423	40.3833	0.673055556	0.7688
2453	40.8833	0.681388889	0.7743
2483	41.3833	0.689722222	0.7731
2513	41.8833	0.698055556	0.7784
2543	42.3833	0.706388889	0.7818
2573	42.8833	0.714722222	0.777
2603	43.3833	0.723055556	0.7818
2633	43.8833	0.731388889	0.7745
2663	44.3833	0.739722222	0.7755
2693	44.8833	0.748055556	0.7802
2723	45.3833	0.756388889	0.7787
2753	45.8833	0.764722222	0.7786
2784	46.4	0.773333333	0.7791
2814	46.9	0.781666667	0.7783
2844	47.4	0.79	0.7863
2874	47.9	0.798333333	0.7872
2904	48.4	0.806666667	0.7914
2934	48.9	0.815	0.7848
2964	49.4	0.823333333	0.7861
2994	49.9	0.831666667	0.7901
3024	50.4	0.84	0.7922
3054	50.9	0.848333333	0.7913
3084	51.4	0.856666667	0.7979
3114	51.9	0.865	0.7929
3144	52.4	0.873333333	0.7942
3174	52.9	0.881666667	0.798
3205	53.4167	0.890277778	0.7951
3235	53.9167	0.898611111	0.7918
3265	54.4167	0.906944444	0.7959
3295	54.9167	0.915277778	0.7993
3325	55.4167	0.923611111	0.7937
3355	55.9167	0.931944444	0.8057
3385	56.4167	0.940277778	0.8002
3415	56.9167	0.948611111	0.8014
3445	57.4167	0.956944444	0.8035
3475	57.9167	0.965277778	0.8048
3505	58.4167	0.973611111	0.8039
3535	58.9167	0.981944444	0.8074
3565	59.4167	0.990277778	0.8087
3596	59.9333	0.998888889	0.806
3626	60.4333	1.007222222	0.8083
3656	60.9333	1.015555556	0.8058
3686	61.4333	1.023888889	0.8027
3716	61.9333	1.032222222	0.811
3746	62.4333	1.040555556	0.8096
3776	62.9333	1.048888889	0.8082
3806	63.4333	1.057222222	0.8112
3836	63.9333	1.065555556	0.8059
3866	64.4333	1.073888889	0.8101
3897	64.95	1.0825	0.8201
3927	65.45	1.090833333	0.8149
3957	65.95	1.099166667	0.8119
3987	66.45	1.1075	0.812
4017	66.95	1.115833333	0.8138
4047	67.45	1.124166667	0.8102
4077	67.95	1.1325	0.8046
4108	68.4667	1.141111111	0.8139
4138	68.9667	1.149444444	0.8111
4168	69.4667	1.157777778	0.8123
4198	69.9667	1.166111111	0.814
4228	70.4667	1.174444444	0.8127
4258	70.9667	1.182777778	0.8128
4288	71.4667	1.191111111	0.8081
4319	71.9833	1.199722222	0.8129
4349	72.4833	1.208055556	0.8088
4379	72.9833	1.216388889	0.8074
4409	73.4833	1.224722222	0.8101
4439	73.9833	1.233055556	0.813
4469	74.4833	1.241388889	0.8086
4499	74.9833	1.249722222	0.8132
4530	75.5	1.258333333	0.8105
4560	76	1.266666667	0.8104
4590	76.5	1.275	0.8129
4620	77	1.283333333	0.8117
4650	77.5	1.291666667	0.8097
4680	78	1.3	0.8078
4711	78.5167	1.308611111	0.8072
4741	79.0167	1.316944444	0.809
4771	79.5167	1.325277778	0.803
4801	80.0167	1.333611111	0.8101
4831	80.5167	1.341944444	0.8046
4861	81.0167	1.350277778	0.8088
4891	81.5167	1.358611111	0.7986
4922	82.0333	1.367222222	0.8013
4952	82.5333	1.375555556	0.807
4982	83.0333	1.383888889	0.8045
5012	83.5333	1.392222222	0.8085
5042	84.0333	1.400555556	0.8078
5072	84.5333	1.408888889	0.8079
5102	85.0333	1.417222222	0.8058
5133	85.55	1.425833333	0.8065
5163	86.05	1.434166667	0.8026
5193	86.55	1.4425	0.8056
5223	87.05	1.450833333	0.8055
5253	87.55	1.459166667	0.8057
5283	88.05	1.4675	0.8062
5314	88.5667	1.476111111	0.8042
5344	89.0667	1.484444444	0.8102
5374	89.5667	1.492777778	0.8036
5404	90.0667	1.501111111	0.8016
5434	90.5667	1.509444444	0.8053
5464	91.0667	1.517777778	0.8067
5495	91.5833	1.526388889	0.7993
5525	92.0833	1.534722222	0.8042
5555	92.5833	1.543055556	0.7996
5585	93.0833	1.551388889	0.8052
5615	93.5833	1.559722222	0.8004
5645	94.0833	1.568055556	0.8004
5675	94.5833	1.576388889	0.798
5705	95.0833	1.584722222	0.7985
5736	95.6	1.593333333	0.7964
5766	96.1	1.601666667	0.7955
