sec	min	hour	od
0	0	0	0.0001
30	0.5	0.008333333	0.0001
61	1.01667	0.016944444	-0.0002
91	1.51667	0.025277778	-0.0005
121	2.01667	0.033611111	-0.0003
151	2.51667	0.041944444	-0.0006
181	3.01667	0.050277778	-0.0005
211	3.51667	0.058611111	-0.001
242	4.03333	0.067222222	-0.001
272	4.53333	0.075555556	-0.0013
803	13.3833	0.223055556	0.651
833	13.8833	0.231388889	0.6523
864	14.4	0.24	0.6457
894	14.9	0.248333333	0.6536
924	15.4	0.256666667	0.6469
954	15.9	0.265	0.6462
984	16.4	0.273333333	0.6508
1014	16.9	0.281666667	0.6513
1044	17.4	0.29	0.6472
1074	17.9	0.298333333	0.6473
1104	18.4	0.306666667	0.6456
1134	18.9	0.315	0.6494
1164	19.4	0.323333333	0.6505
1194	19.9	0.331666667	0.6482
1224	20.4	0.34	0.6505
1254	20.9	0.348333333	0.6508
1285	21.4167	0.356944444	0.6482
1315	21.9167	0.365277778	0.6494
1345	22.4167	0.373611111	0.6463
1375	22.9167	0.381944444	0.6529
1405	23.4167	0.390277778	0.6539
1435	23.9167	0.398611111	0.654
1465	24.4167	0.406944444	0.6593
1495	24.9167	0.415277778	0.6575
1525	25.4167	0.423611111	0.6545
1555	25.9167	0.431944444	0.6547
1585	26.4167	0.440277778	0.6534
1615	26.9167	0.448611111	0.6568
1645	27.4167	0.456944444	0.6541
1675	27.9167	0.465277778	0.6599
1705	28.4167	0.473611111	0.6586
1735	28.9167	0.481944444	0.6624
1765	29.4167	0.490277778	0.6634
1796	29.9333	0.498888889	0.6632
1826	30.4333	0.507222222	0.6646
1856	30.9333	0.515555556	0.666
1886	31.4333	0.523888889	0.6611
1916	31.9333	0.532222222	0.6611
1946	32.4333	0.540555556	0.6645
1976	32.9333	0.548888889	0.6695
2006	33.4333	0.557222222	0.6698
2036	33.9333	0.565555556	0.6735
2066	34.4333	0.573888889	0.672
2096	34.9333	0.582222222	0.679
2126	35.4333	0.590555556	0.6757
2156	35.9333	0.598888889	0.6708
2187	36.45	0.6075	0.6693
2217	36.95	0.615833333	0.6726
2247	37.45	0.624166667	0.6732
2277	37.95	0.6325	0.683
2307	38.45	0.640833333	0.6812
2337	38.95	0.649166667	0.6818
2367	39.45	0.6575	0.6822
2397	39.95	0.665833333	0.6845
2427	40.45	0.674166667	0.6846
2457	40.95	0.6825	0.682
2487	41.45	0.690833333	0.6859
2517	41.95	0.699166667	0.6893
2547	42.45	0.7075	0.6907
2578	42.9667	0.716111111	0.6884
2608	43.4667	0.724444444	0.6888
2638	43.9667	0.732777778	0.6891
2669	44.4833	0.741388889	0.6877
2699	44.9833	0.749722222	0.6917
2729	45.4833	0.758055556	0.6897
2759	45.9833	0.766388889	0.6931
2790	46.5	0.775	0.6945
2820	47	0.783333333	0.6941
2850	47.5	0.791666667	0.6912
